posix_timestamp, elapsed_time, R_speed_command, L_speed_command, R_belt_speed, L_belt_speed, incline
1618709731.413000, 0.000125, 0.000000, 0.000000, 0, 0, 250
1618709732.338000, 0.924322, 0.000000, 0.000000, -1, -1, 0
1618709732.600000, 1.186047, 1.100000, 1.100000, 0, 0, 250
1618709732.864000, 1.449805, 1.100000, 1.100000, -1, -1, 0
1618709733.131000, 1.717088, 1.100000, 1.100000, 1100, 1100, 250
1618709733.393000, 1.979517, 1.100000, 1.100000, -1, -1, 0
1618709733.658000, 2.243916, 1.100000, 1.100000, 1100, 1100, 250
1618709733.921000, 2.507275, 1.600000, 1.600000, -1, -1, 0
1618709734.186000, 2.772585, 1.600000, 1.600000, 1100, 1100, 250
1618709734.452000, 3.038537, 1.600000, 1.600000, -1, -1, 0
1618709734.717000, 3.303250, 1.600000, 1.600000, 1100, 1100, 250
1618709734.982000, 3.568254, 1.600000, 1.600000, -1, -1, 0
1618709735.245000, 3.831504, 1.600000, 1.600000, 1100, 1100, 250
1618709735.509000, 4.095072, 2.682240, 0.000000, -1, -1, 0
1618709735.774000, 4.360144, 2.682240, 0.000000, 1600, 1600, 250
1618709736.038000, 4.623926, 2.682240, 0.000000, -1, -1, 0
1618709736.302000, 4.888581, 2.682240, 0.000000, 1600, 1600, 250
1618709736.565000, 5.151356, 2.682240, 0.000000, -1, -1, 0
1618709736.832000, 5.417944, 2.682240, 0.000000, 1600, 1600, 250
1618709737.099000, 5.685316, 2.682240, 0.000000, -1, -1, 0
1618709737.362000, 5.948574, 2.682240, 0.000000, 1600, 1600, 250
1618709737.627000, 6.213291, 2.682240, 0.000000, -1, -1, 0
1618709737.892000, 6.478239, 2.682240, 0.000000, 1600, 1600, 250
1618709738.157000, 6.743144, 2.682240, 0.000000, -1, -1, 0
1618709738.420000, 7.005773, 2.873829, 0.000000, 1600, 1600, 250
1618709738.683000, 7.268790, 2.873829, 0.000000, -1, -1, 0
1618709738.949000, 7.534892, 2.873829, 0.000000, 2682, 0, 250
1618709739.214000, 7.800197, 2.873829, 0.000000, -1, -1, 0
1618709739.478000, 8.064252, 2.873829, 0.000000, 2682, 0, 250
1618709739.743000, 8.329209, 2.873829, 0.000000, -1, -1, 0
1618709740.006000, 8.591769, 2.873829, 0.000000, 2682, 0, 250
1618709740.269000, 8.855367, 2.873829, 0.000000, -1, -1, 0
1618709740.532000, 9.118459, 2.873829, 0.000000, 2682, 0, 250
1618709740.793000, 9.379397, 2.873829, 0.000000, -1, -1, 0
1618709741.058000, 9.643907, 2.873829, 0.000000, 2682, 0, 250
1618709741.322000, 9.908297, 2.873829, 0.000000, -1, -1, 0
1618709741.587000, 10.173243, 3.065417, 0.000000, 2682, 0, 250
